SSP;Fab_foot_2__2D#WS fabalis (fabalis) [Cy5];Fab_foot_3__2D#WS fabalis (fabalis) [Cy5];Fab_head_1__2D#WS fabalis (fabalis) [Cy5];Fab_head_4__2D#WS fabalis (fabalis) [Cy5];obt-foot-2__2D#WS fabalis (6Xobt, 2Xarc) [Alexa Fluor 488];obt-foot-3__2D#WS fabalis (6Xobt, 2Xarc) [Alexa Fluor 488];obt-head-1__2D#WS fabalis (6Xobt, 2Xarc) [Alexa Fluor 488];obt-head-4__2D#WS fabalis (6Xobt, 2Xarc) [Alexa Fluor 488]
1;;33091.0;;;;226154.8;;2118.2
2;38.6;216.9;552.5;164.3;31.2;194.6;332.4;120.6
101;14951.7;13114.9;25973.6;427.7;4592.4;8867.1;24046.6;
103;;713.3;;;2355.9;;;397.2
104;;2596.3;941.6;;;5686.6;;12168.3
201;;458.2;732.1;;;;;
202;3519.1;4797.6;6590.9;296.9;5387.3;4306.7;3240.6;3509.2
402;;1996.5;;3978.9;;1186.2;;
1001;459.6;1865.9;678.9;;294.3;387.8;;
1002;1858.7;4598.7;3577.0;1423.4;;5535.7;8490.0;8647.0
1101;492.2;1008.2;1135.6;651.9;423.4;512.4;873.7;568.7
1102;200.7;827.1;845.7;460.2;;960.2;590.8;395.6
1201;;593.9;;1001.8;;;;
1202;;895.3;1201.2;;;;;
1203;699.8;649.7;2027.5;;1207.9;671.7;;784.9
1204;381.9;554.6;1132.5;680.6;349.3;682.2;694.1;541.6
1301;215.8;458.5;550.7;389.2;1151.7;1610.5;535.7;1174.7
1501;64.7;129.0;184.4;50.7;;;;
1801;;217.3;;;;218.3;;119.2
2301;607.5;1345.6;1356.6;901.2;;;1071.4;756.8
2401;1922.5;3365.1;4365.3;755.3;120.3;203.2;95.9;178.5
2402;2639.1;1174.4;3174.4;1042.9;10787.8;5695.0;5575.3;2691.1
2501;191.5;362.8;481.3;267.8;;129.2;;
2502;234.0;354.1;458.8;265.2;121.0;210.3;184.3;152.9
2701;125.8;228.1;242.9;120.6;;;;
2702;163.6;344.9;359.4;153.7;;;182.0;108.3
2801;48.0;231.4;;;;;;38.8
2802;124.9;308.2;233.0;152.8;89.4;65.6;178.0;101.1
2901;74.3;162.8;255.8;130.0;76.2;27.8;89.2;84.1
3402;;2055.4;;;;;6109.1;2498.0
3403;;484.9;;;2409.6;839.6;;
3501;;357.6;;103.7;;153.2;;
3601;602.7;1148.7;;;692.1;1150.5;271.5;117.2
3701;776.5;1657.2;1647.7;1168.4;1193.4;799.7;799.1;861.5
3801;135.2;273.3;264.7;112.6;5.2;;186.1;91.1
3901;;341.8;;;;;;
3902;;425.5;;;;;;
4001;133.5;;16685.7;;;;;
4002;;;;6939.1;;;32405.4;36918.5
4101;284.0;807.5;100.1;404.1;133.5;334.9;408.1;248.1
4301;234.2;776.5;418.2;275.4;192.4;321.1;287.8;187.0
4401;3045.5;3534.7;4596.0;2493.2;1337.7;599.4;2991.5;2831.0
4402;651.0;1345.0;1742.3;626.9;2079.0;2487.4;;409.1
4403;;438.4;;;;;;
4404;210.2;1972.0;3939.5;2702.4;2507.3;1303.9;536.3;
4501;465.0;1050.8;1714.1;1903.4;;376.2;750.6;
4502;431.7;782.0;;;826.8;;789.2;867.1
4601;949.5;3095.5;2433.0;2695.8;;1305.1;1598.2;1146.5
4602;;572.6;;;;;;
4701;;743.0;;;;;;
4702;;915.0;;423.3;;;;
5201;521.7;715.3;1406.9;942.9;279.1;510.8;874.5;722.9
5401;5922.1;5546.4;4764.2;3774.8;7732.5;7800.6;3575.2;2395.8
5402;244.6;273.0;383.7;427.3;338.7;;320.4;97.4
5403;931.5;;1068.2;542.5;;4656.6;2397.8;2339.8
5601;;557.5;718.1;;;;;442.0
5602;527.2;1255.5;1604.0;569.5;477.0;;752.7;
5701;;925.9;;;;497.0;;
5702;;1308.2;;;;967.1;;
5801;;153.4;;;;;;
5802;;480.4;;;;;;
5803;430.0;1910.9;2232.4;661.6;291.8;568.3;1203.0;484.3
5901;;336.3;;;;;;
5902;509.2;365.0;647.1;218.1;379.9;;439.1;338.1
6201;;612.0;;;;386.6;;
6501;;973.6;;;;10376.6;1833.4;823.4
6601;2422.9;2127.4;60036.2;14465.5;;1235.5;;
6701;;876.9;;;;;;
6801;;806.8;1631.6;;;;;
6901;;859.5;392.5;;;451.3;;
6902;274.7;925.9;339.9;168.4;519.1;447.8;;
6903;;1058.3;2720.4;;;1451.4;;
7101;852.6;822.8;2725.5;1610.6;1467.7;579.2;2048.7;505.9
7102;;2200.1;;;1285.7;1375.4;;
7401;;236.8;;;;;;
7402;;949.1;;1160.0;8505.0;;;
7403;259.7;552.3;706.3;;;;;
7501;15800.4;65273.3;40472.6;11361.6;14789.6;7701.4;23105.3;23097.1
7601;;509.7;;;;1327.3;;7975.6
7701;3426.9;7714.6;;2002.6;;;;
7702;;1637.5;;;;;;
7801;889.9;1850.9;3172.6;445.3;775.9;645.3;1968.3;779.6
7802;;1083.4;;623.2;;;;2364.3
7901;;2135.2;884.2;;;1325.5;;
7902;;1969.4;;;;737.6;;
8001;1290.2;1797.0;1273.0;1416.3;1133.5;1178.2;2107.9;1459.9
8002;;;1868.9;1446.6;9935.6;1189.0;3657.8;3863.1
8101;;;856.9;823.5;;;;
8102;;;1485.8;370.5;1424.3;;1219.6;872.2
8201;514.3;601.2;1738.7;783.3;410.7;167.5;1194.5;626.5
8202;;738.9;1189.8;;;;;
8203;1478.6;1739.4;578.9;1478.9;1385.8;943.1;1110.5;1095.9
8301;;28388.8;24747.8;7811.0;7602.3;54285.5;18286.2;8723.1
